"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CPI","TOT","IDX2010","Q","1949-Q1",10.38924,
"CAN","CPI","TOT","IDX2010","Q","1949-Q2",10.38924,
"CAN","CPI","TOT","IDX2010","Q","1949-Q3",10.44648,
"CAN","CPI","TOT","IDX2010","Q","1949-Q4",10.53234,
"CAN","CPI","TOT","IDX2010","Q","1950-Q1",10.4751,
"CAN","CPI","TOT","IDX2010","Q","1950-Q2",10.56096,
"CAN","CPI","TOT","IDX2010","Q","1950-Q3",10.7613,
"CAN","CPI","TOT","IDX2010","Q","1950-Q4",11.07613,
"CAN","CPI","TOT","IDX2010","Q","1951-Q1",11.36234,
"CAN","CPI","TOT","IDX2010","Q","1951-Q2",11.76302,
"CAN","CPI","TOT","IDX2010","Q","1951-Q3",12.02061,
"CAN","CPI","TOT","IDX2010","Q","1951-Q4",12.24957,
"CAN","CPI","TOT","IDX2010","Q","1952-Q1",12.27819,
"CAN","CPI","TOT","IDX2010","Q","1952-Q2",12.13509,
"CAN","CPI","TOT","IDX2010","Q","1952-Q3",12.10647,
"CAN","CPI","TOT","IDX2010","Q","1952-Q4",12.10647,
"CAN","CPI","TOT","IDX2010","Q","1953-Q1",12.02061,
"CAN","CPI","TOT","IDX2010","Q","1953-Q2",11.93474,
"CAN","CPI","TOT","IDX2010","Q","1953-Q3",12.04923,
"CAN","CPI","TOT","IDX2010","Q","1953-Q4",12.13509,
"CAN","CPI","TOT","IDX2010","Q","1954-Q1",12.07785,
"CAN","CPI","TOT","IDX2010","Q","1954-Q2",12.04923,
"CAN","CPI","TOT","IDX2010","Q","1954-Q3",12.16371,
"CAN","CPI","TOT","IDX2010","Q","1954-Q4",12.16371,
"CAN","CPI","TOT","IDX2010","Q","1955-Q1",12.10647,
"CAN","CPI","TOT","IDX2010","Q","1955-Q2",12.10647,
"CAN","CPI","TOT","IDX2010","Q","1955-Q3",12.13509,
"CAN","CPI","TOT","IDX2010","Q","1955-Q4",12.19233,
"CAN","CPI","TOT","IDX2010","Q","1956-Q1",12.13509,
"CAN","CPI","TOT","IDX2010","Q","1956-Q2",12.16371,
"CAN","CPI","TOT","IDX2010","Q","1956-Q3",12.39267,
"CAN","CPI","TOT","IDX2010","Q","1956-Q4",12.50716,
"CAN","CPI","TOT","IDX2010","Q","1957-Q1",12.53578,
